metric,description,value
AIUT,# Aprendices inscritos únicos,775
AIT,# Aprendices inscritos totales,787
ACF,"# Aprendices en centro de formación ""Otro"" para identificar",14
HTI,% de hombres totales inscritos,70.39%
MTI,% de mujeres totales inscritos,16.90%
NGTI,% de personas que prefirieron no responder su género totales inscritos,0.64%
EMTI,% de personas que dejaron vacío su género totales inscritos,11.94%
EMAILERR,Correos mal escritos,84
EMAILADD,Correos adicionados fuera del form,2
CFUI,Centros de formación únicos inscritos,58
DCUI,Departamentos de Colombia únicos inscritos,21
FELIZ,Qué tan felices y proyectados están los aprendices (promedio 1-10),9.13
PFFRONT,% de perfiles DEV Frontend en los aprendices inscritos,31.0%
PFMOBILE,% de perfiles DEV Mobile en los aprendices inscritos,4.2%
PFBACK,% de perfiles DEV Backend en los aprendices inscritos,43.5%
PFQC,% de perfiles QC en los aprendices inscritos,3.4%
PFTAE,% de perfiles TAE en los aprendices inscritos,4.3%
PFBA,% de perfiles BA en los aprendices inscritos,6.0%
PFSM,% de perfiles Scrum Master en los aprendices inscritos,7.2%